stage,name,method,n_steps,n_replicas,a,t,l2_f_median,l2_f_q25,l2_f_q75,l2_fp_median,l2_fp_q25,l2_fp_q75,repl_cumulative_median,n_seeds
difficulty_crowding,abf,abf,250000,1024,1.5,30.0,0.15985610635649933,0.15133648909081032,0.16135040819676133,0.5530346234130141,0.5498498238701838,0.618233854241167,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,35.0,0.14531697633476795,0.14449303371814973,0.1576367350820225,0.49156450508688193,0.49004434347042514,0.623233364361586,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,40.0,0.14583533357207834,0.14061611579422645,0.15065192966046406,0.5211293954617624,0.495743779119625,0.5265818362082555,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,45.0,0.14398482784624378,0.14074533548415225,0.1483982948270834,0.4821377888115791,0.4786083627238443,0.4833144356242387,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,50.0,0.14445605400061015,0.12975277979533234,0.1450017017908155,0.46987034126512517,0.4460081224658939,0.4996504557848084,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,55.0,0.1369843703486254,0.12773873081670375,0.1414033826517604,0.4489705798393869,0.44033371402797034,0.48872595155418275,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,60.0,0.12732819585513008,0.126486593659484,0.13259814214556231,0.437578432842093,0.4202450139441123,0.4769650910761997,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,65.0,0.1243595387170216,0.12352026519165595,0.13517267633699093,0.4505856618911304,0.4088596377683345,0.4555434987690756,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,70.0,0.12483514178988747,0.12330591036905428,0.1317136159734658,0.43882722695485477,0.4059089347474701,0.4425422961980919,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,75.0,0.1209152978152877,0.12046490133458995,0.12888043291239096,0.4299475283727508,0.39593342405640364,0.4415525216130824,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,80.0,0.12242751176514444,0.1179250704789073,0.1260835071908772,0.41551817656031215,0.40274315011740275,0.4240483895120783,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,85.0,0.1198502698133456,0.11617290162352986,0.12223808036367317,0.4120859767094783,0.40108597224589865,0.41605688289415055,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,90.0,0.11766590606900006,0.11430479974901459,0.11895196071948477,0.4029123736842198,0.39255508512273307,0.40496852081363244,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,95.0,0.11543477789917307,0.11407776059338492,0.1165777024080093,0.39955724517042995,0.3855185487778454,0.40458670855128603,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,100.0,0.11340851124762648,0.11250120022985757,0.11540257934395273,0.3921039975713927,0.382180756520885,0.39843466151536444,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,105.0,0.11148216525626496,0.11027855552952225,0.11566901491148203,0.39002599186329723,0.38709822514348335,0.3901377724896751,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,110.0,0.11069606301602015,0.10911656268930679,0.11460806127265327,0.3874167449307437,0.3858872310627568,0.38762410618103654,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,115.0,0.107717721673878,0.10751548671790888,0.11379527117788112,0.37637406024497877,0.3761708435879862,0.3860601280761709,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,120.0,0.10914600269776402,0.10723862159895153,0.11022706371004994,0.37757552317046067,0.3698693886973582,0.3793838296407391,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,125.0,0.10694965016285829,0.10559156813712983,0.10904058756144872,0.3754644368965768,0.3709025595870996,0.37565982318060004,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,130.0,0.10400694690328952,0.10239567702626166,0.10687568941683034,0.3683825974989005,0.36815523027384367,0.3719518345202862,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,135.0,0.10215351195457809,0.10190016695044979,0.10611497386494763,0.364062918758434,0.3635120059750222,0.3702827104175838,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,140.0,0.10157965391324314,0.100620192096073,0.10496329612949151,0.3603696128066221,0.3601995864994059,0.36993238498519515,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,145.0,0.10197668443405752,0.09863227876009507,0.10304459338430344,0.3634254635644964,0.3542972381098224,0.36384219336727186,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,150.0,0.10107028171321983,0.09771746525387294,0.10128616515887984,0.36150738795363646,0.3509799833393895,0.36426125610510707,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,155.0,0.09986171149678004,0.0962995682767406,0.10079864006485595,0.35851976080488224,0.35549810178277713,0.36165492196915716,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,160.0,0.098137384667952,0.09497694870265859,0.09844450393371565,0.3569580848244638,0.35095530125037766,0.35870983022744524,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,165.0,0.09571061828385068,0.0940872098022523,0.0958039741679741,0.3518845481221593,0.3451590544804965,0.35273506983355735,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,170.0,0.09433888828020083,0.09288298125998767,0.09564847767694447,0.3492680297964361,0.3447912493474919,0.3504959743257255,0.0,5
difficulty_crowding,abf,abf,250000,1024,1.5,175.0,0.09319427241818572,0.09215471489090442,0.09659160006327012,0.34653667247729497,0.34617371928902946,0.3475271749391692,0.0,5
